input,issues
"Drone log, vbat avg=23.94V (min=9.51V), amperage max=19.75A, rssi avg=73 (min=38), motor imbalance=359, gyro variability=4.301, acc variability=7.303, GPS sats min=2, GPS speed max=2.75 m/s, alt avg=75.2m, throttle avg=1059, failsafe phase=0, rx signal quality=0.28 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=23.82V (min=16.8V), amperage max=13.25A, rssi avg=29 (min=80), motor imbalance=225, gyro variability=0.648, acc variability=5.007, GPS sats min=2, GPS speed max=2.28 m/s, alt avg=86.1m, throttle avg=1761, failsafe phase=1, rx signal quality=0.96 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.95V (min=21.84V), amperage max=4.62A, rssi avg=49 (min=49), motor imbalance=418, gyro variability=0.101, acc variability=0.177, GPS sats min=14, GPS speed max=14.37 m/s, alt avg=552.0m, throttle avg=1117, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.69V (min=18.99V), amperage max=9.78A, rssi avg=77 (min=66), motor imbalance=385, gyro variability=4.793, acc variability=31.795, GPS sats min=8, GPS speed max=10.27 m/s, alt avg=149.2m, throttle avg=1551, failsafe phase=1, rx signal quality=0.78 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=20.34V (min=10.89V), amperage max=13.06A, rssi avg=89 (min=66), motor imbalance=49, gyro variability=1.541, acc variability=2.183, GPS sats min=8, GPS speed max=19.99 m/s, alt avg=51.9m, throttle avg=1664, failsafe phase=0, rx signal quality=0.18 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.71V (min=19.66V), amperage max=11.31A, rssi avg=26 (min=21), motor imbalance=246, gyro variability=4.492, acc variability=33.085, GPS sats min=13, GPS speed max=6.49 m/s, alt avg=112.4m, throttle avg=1302, failsafe phase=0, rx signal quality=0.9 → What issues occurred?",rssi drop
"Drone log, vbat avg=22.93V (min=22.81V), amperage max=5.87A, rssi avg=35 (min=34), motor imbalance=150, gyro variability=0.048, acc variability=0.193, GPS sats min=9, GPS speed max=23.03 m/s, alt avg=773.2m, throttle avg=1171, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.69V (min=11.92V), amperage max=18.53A, rssi avg=92 (min=76), motor imbalance=134, gyro variability=3.427, acc variability=7.23, GPS sats min=8, GPS speed max=17.14 m/s, alt avg=144.5m, throttle avg=1078, failsafe phase=0, rx signal quality=0.3 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.57V (min=22.0V), amperage max=24.7A, rssi avg=39 (min=67), motor imbalance=174, gyro variability=4.931, acc variability=1.131, GPS sats min=4, GPS speed max=20.37 m/s, alt avg=144.0m, throttle avg=1512, failsafe phase=1, rx signal quality=0.53 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=21.65V (min=21.56V), amperage max=6.52A, rssi avg=37 (min=36), motor imbalance=481, gyro variability=0.096, acc variability=0.171, GPS sats min=14, GPS speed max=18.13 m/s, alt avg=677.7m, throttle avg=1183, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
